OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,CouncilDistrictCode,Neighborhood,YearBuilt,Address,City,State,ZipCode,Latitude,Longitude,PrimaryPropertyType,ListOfAllPropertyUseTypes,EPAPropertyType,TotalGHGEmissions,ENERGYSTARScore,YearsENERGYSTARCertified,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity,GHGEmissionsIntensity(kgCO2e/ft2),NaturalGas(kBtu),NaturalGas(therms),Electricity(kBtu),Electricity(kWh),SteamUse(kBtu),OtherFuelUse(kBtu),PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,Outlier,ComplianceIssue,ComplianceStatus
20243,1142000450,2019,Multifamily LR (1-4),LA MIRADA APARTMENTS,4,NORTHEAST,1956,1120 NE 43RD ST,SEATTLE,WA,98105,47.65998,-122.31579,Multifamily Housing,,Multifamily LR (1-4),4.1,91,,27.7,27.7,657828,658734,77.7,77.6,,0.2,,0,0,658734,193064,0,,23742,23742,0,,4,Multifamily Housing,23742,,,,,,No Issue,Compliant
20251,1142000805,2019,Multifamily LR (1-4),FORDE APARTMENTS,4,NORTHEAST,1981,4231 12TH AVE NE,SEATTLE,WA,98105,47.65915,-122.31579,Multifamily Housing,,Multifamily LR (1-4),3.4,83,,26.2,26.5,562200,555526,73.5,74.3,,0.2,,0,0,555526,162815,0,,24492,21176,3316,,3,Multifamily Housing,21176,,,,,,No Issue,Compliant
20252,1142000860,2019,Multifamily MR (5-9),ESCOLIER APARTMENTS,4,NORTHEAST,1962,4214 11TH AVE NE,SEATTLE,WA,98105,47.65893,-122.31634,Multifamily Housing,,Multifamily MR (5-9),4.1,100,,21.3,21.5,669569,661344,59.6,60.3,,0.1,,0,0,661344,193829,0,,31075,31075,0,,5,Multifamily Housing,31075,,,,,,Account Requires Verification,Not Compliant
20258,1142000955,2019,Multifamily LR (1-4),WELLESLEY APARTMENTS,4,NORTHEAST,1925,4203 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65847,-122.3147,Multifamily Housing,,Multifamily LR (1-4),4.7,79,,26.4,26.9,772117,757857,73.9,75.3,,0.2,,0,0,757857,222115,0,,28700,28700,0,,3,Multifamily Housing,28700,,,,,,No Issue,Compliant
20263,1142001090,2019,Multifamily LR (1-4),STANFORD APARTMENTS,4,NORTHEAST,1924,1304 NE 42ND ST,SEATTLE,WA,98105,47.65848,-122.31397,Multifamily Housing,,Multifamily LR (1-4),13.5,99,,25.8,25.8,581428,580685,55.7,55.6,,0.6,,211646,2116,369040,108159,0,,22542,22542,0,,3,Multifamily Housing,22542,,,,,,No Issue,Compliant
20264,1142001100,2019,Multifamily LR (1-4),CAMPUS APT,4,NORTHEAST,1923,4210 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65874,-122.31395,Multifamily Housing,,Multifamily LR (1-4),18.6,,,31.9,32.4,800438,787851,68.7,69.8,,0.8,,292037,2920,495814,145315,0,,24680,24680,0,,4,Multifamily Housing,24680,,,,,,No Issue,Compliant
20265,1142001140,2019,Multifamily MR (5-9),UNIVERSITY MANOR APARTMENTS,4,NORTHEAST,1928,1305 NE 43RD ST,SEATTLE,WA,98105,47.65964,-122.31394,Multifamily Housing,,Multifamily MR (5-9),67.4,,,43,43,2710885,2713722,90.5,90.1,,1.1,,1080381,10804,1633341,478705,0,,63837,63837,0,,8,Multifamily Housing,60799,Medical Office,1276,Other - Restaurant/Bar,976,,No Issue,Compliant
20266,1142001145,2019,NonResidential,UNIVERSITY METHODIST TEMPLE,4,NORTHEAST,1926,1415 NE 43RD ST,SEATTLE,WA,98105,47.65926,-122.31241,Worship Facility,,Worship Facility,128.3,19,,66.7,68.4,3282444,3200703,102.4,104.3,,2.7,,2313146,23131,887557,260128,0,,47992,47992,0,,2,Worship Facility,37800,Other,10206,,,,No Issue,Compliant
20267,1142001210,2019,Multifamily LR (1-4),LA PAZ APARTMENTS WITH STREET LEVEL RETAIL,4,NORTHEAST,1916,4200 UNIVERSITY WAY NE,SEATTLE,WA,98105,47.65853,-122.3128,Multifamily Housing,,Multifamily LR (1-4),64.3,44,,81.7,83.2,1765354,1733834,134.7,136.3,,2.9,,1140964,11410,592870,173760,0,,22320,22320,0,,3,Multifamily Housing,14206,Retail Store,7006,,,,No Issue,Compliant
20273,1142001455,2019,NonResidential,BROOKLYN PLAZA DORM,4,NORTHEAST,1993,4106 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65711,-122.31409,Residence Hall/Dormitory,,Residence Hall/Dormitory,70,27,,105.5,105.9,2329170,2321150,201.1,201.5,,3.3,,1185715,11857,1135434,332777,0,,28572,21245,7327,,3,Residence Hall/Dormitory,22000,Parking,7000,,,,No Issue,Compliant
20274,1142001475,2019,Multifamily LR (1-4),COHO APARTMENTS,4,NORTHEAST,1964,4120 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65755,-122.31406,Multifamily Housing,,Multifamily LR (1-4),4.2,92,,25.5,25.5,678130,678834,71.4,71.3,,0.2,,0,0,678834,198955,0,,26639,26639,0,,4,Multifamily Housing,26639,,,,,,No Issue,Compliant
20279,1142001535,2019,Multifamily LR (1-4),MAVERICK APT,4,NORTHEAST,1963,4131 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65766,-122.31471,Multifamily Housing,,Multifamily LR (1-4),5,81,,29.2,29,801402,806839,81.6,81.1,,0.2,,0,0,806839,236471,0,,34735,27671,7064,,4,Multifamily Housing,27671,,,,,,No Issue,Compliant
20280,1142001560,2019,Multifamily LR (1-4),TYEE APARTMENTS,4,NORTHEAST,1963,4115 BROOKLYN AVE NE,SEATTLE,WA,98105,47.6573,-122.31474,Multifamily Housing,,Multifamily LR (1-4),4.5,94,,28.2,28.1,719377,722062,79.1,78.8,,0.2,,0,0,722062,211624,0,,25568,25568,0,,4,Multifamily Housing,25568,,,,,,No Issue,Compliant
20281,1142001570,2019,Multifamily LR (1-4),LEVERE APTS,4,NORTHEAST,1927,4105 BROOKLYN AVE NE,SEATTLE,WA,98105,47.65698,-122.31491,Multifamily Housing,,Multifamily LR (1-4),23.2,89,,36.1,35.9,930510,935158,76,75.5,,0.9,,371282,3713,563876,165262,0,,25904,25904,0,,3,Multifamily Housing,25904,,,,,,No Issue,Compliant
20296,1142001770,2019,Multifamily LR (1-4),LEE AND LEE APARTMENTS,4,NORTHEAST,1941,4145 11TH AVE NE,SEATTLE,WA,98105,47.65807,-122.31713,Multifamily Housing,,Multifamily LR (1-4),4.5,95,,29.5,29.5,724464,723685,82.5,82.6,,0.2,,0,0,723685,212100,0,,24548,24548,0,,3,Multifamily Housing,24548,,,,,,No Issue,Compliant
20297,1142001780,2019,Multifamily MR (5-9),COLLEGE PLACE APARTMENTS,4,NORTHEAST,1970,4131 11TH AVE NE,SEATTLE,WA,98105,47.65769,-122.31702,Multifamily Housing,,Multifamily MR (5-9),12.2,80,,36.9,37,1978309,1974809,103.4,103.6,,0.2,,0,0,1974809,578783,0,,71827,53480,18347,,9,Multifamily Housing,53480,Parking,10000,,,,No Issue,Compliant
20303,1145000070,2019,Multifamily MR (5-9),TRINITY APARTMENTS,4,NORTHEAST,2008,4301 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65972,-122.31807,Multifamily Housing,,Multifamily MR (5-9),39.1,,,23.5,23.6,3433763,3418717,61.2,61.5,,0.4,,383447,3834,3035270,889587,0,,145350,104050,41300,,6,Multifamily Housing,141650,Retail Store,3700,,,,No Issue,Compliant
20304,1145000155,2019,Multifamily MR (5-9),THE KENNEDY BUILDING,4,NORTHEAST,2004,905 NE 45TH ST,SEATTLE,WA,98105,47.66085,-122.31846,Multifamily Housing,,Multifamily MR (5-9),21.2,89,,30,30.3,3465630,3440348,84.1,84.7,,0.2,,0,0,3440347,1008308,0,,169931,114503,55428,,7,Multifamily Housing,111373,Financial Office,3130,,,,No Issue,Compliant
20307,1145000325,2019,Multifamily MR (5-9),ALLEGRO 1 APARTMENTS,4,NORTHEAST,1998,4115 ROOSEVELT WAY NE,SEATTLE,WA,98105,47.65732,-122.31827,Multifamily Housing,,Multifamily MR (5-9),66,88,,46.7,47.2,3275984,3244254,106.1,106.6,,2.5,,980921,9809,2263333,663345,0,,69452,26120,43332,,6,Multifamily Housing,69452,Parking,43332,,,,No Issue,Compliant
20308,1145000525,2019,Multifamily MR (5-9),ALLEGRO II   (53 UNITS PLUS RETAIL),4,NORTHEAST,1999,4060 9TH AVE NE,SEATTLE,WA,98105,47.65715,-122.31858,Multifamily Housing,,Multifamily MR (5-9),7.3,100,,24.8,24.7,1182453,1185193,69.4,69.3,,0.2,,0,0,1185193,347360,0,,73927,47791,26136,,6,Multifamily Housing,47791,Parking,26136,,,,No Issue,Compliant
20309,1160000005,2019,Multifamily LR (1-4),CARIBBEAN MANOR APT'S,5,NORTH,1969,10800 ROOSEVELT WAY NE,SEATTLE,WA,98125,47.70801,-122.3175,Multifamily Housing,,Multifamily LR (1-4),6.6,74,,29.8,29.9,886390,883591,82,82.2,,0.2,,23633,236,859958,252039,0,,29683,29683,0,,4,Multifamily Housing,29683,,,,,,No Issue,Compliant
20310,1165200000,2019,Multifamily MR (5-9),BROXTON CONDOMINIUM,1,SOUTHWEST,2003,5016 CALIFORNIA AVE SW,SEATTLE,WA,98136,47.55694,-122.38652,Multifamily Housing,,Multifamily MR (5-9),41.2,,,37.1,37.5,1661008,1644465,77.8,78.2,,1,,661600,6616,982865,288061,0,,40791,40791,0,,8,Multifamily Housing,42077,Parking,17566,Medical Office,2240,,No Issue,Compliant
20311,1172000025,2019,Multifamily MR (5-9),LICTONWOOD APT SEATTLE HOUSING,6,NORTHWEST,1971,9001 GREENWOOD AVE N,SEATTLE,WA,98103,47.69455,-122.35573,Multifamily Housing,,Multifamily MR (5-9),51.5,36,,54.2,54.9,3091523,3051621,130,131.9,,0.9,,697334,6973,2354287,690002,0,,56319,56319,0,,5,Multifamily Housing,56319,,,,,,No Issue,Compliant
20312,1175000630,2019,Multifamily LR (1-4),TELEMARK APTS,6,BALLARD,1975,2850 NW 56TH ST,SEATTLE,WA,98107,47.66965,-122.39489,Multifamily Housing,,Multifamily LR (1-4),3.9,94,,20.7,20.7,639496,639413,57.9,57.9,,0.1,,0,0,639413,187401,0,,30948,30948,0,,4,Multifamily Housing,30948,,,,,,No Issue,Compliant
20316,1175000904,2019,Multifamily LR (1-4),FAIRHAVEN APTS,6,BALLARD,1988,2839 NW 56TH ST,SEATTLE,WA,98107,47.66927,-122.39485,Multifamily Housing,,Multifamily LR (1-4),5.6,82,,29.4,29.7,914822,906303,82.4,83.2,,0.2,,0,0,906303,265622,0,,39319,30786,8533,,4,Multifamily Housing,30786,Parking,0,,,,No Issue,Compliant
20320,1501800015,2019,Multifamily LR (1-4),ISLAND VIEW APTS,1,SOUTHWEST,1984,3033 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.57602,-122.38712,Multifamily Housing,,Multifamily LR (1-4),8.5,44,,33.3,33.7,1396935,1381132,93.3,94.4,,0.2,,0,0,1381132,404787,0,,41443,41443,0,,4,Multifamily Housing,41443,,,,,,No Issue,Compliant
20321,1508400000,2019,Multifamily LR (1-4),CHAMBERY PARK CONDOMINIUM,5,NORTH,1975,13730 15TH AVE NE,SEATTLE,WA,98125,47.72971,-122.31089,Multifamily Housing,,Multifamily LR (1-4),22.8,13,,28.3,28.4,3706332,3703096,79.3,79.4,,0.2,,0,0,3703095,1085315,0,,130680,130680,0,,3,Multifamily Housing,130709,,,,,,No Issue,Compliant
20323,1510600000,2019,Multifamily HR (10+),CHANCERY PLACE APARTMENTS,3,EAST,1982,910 MARION ST,SEATTLE,WA,98104,47.60817,-122.32654,Residence Hall/Dormitory,,Multifamily HR (10+),19.1,93,,17.7,17.9,3129638,3101788,49.6,50.1,,0.2,,0,0,3101788,909082,0,,115775,84240,31535,,15,Residence Hall/Dormitory,150000,Office,25000,,,,Account Requires Verification,Not Compliant
20324,1513800009,2019,NonResidential,TEMPLE BETH AM,4,NORTHEAST,2000,2632 NE 80TH ST,SEATTLE,WA,98115,47.68752,-122.29852,Worship Facility,,Worship Facility,42.2,23,,52,52,1560545,1561150,105.3,105.5,,1.3,,693377,6934,867772,254330,0,,31386,31386,0,,2,Worship Facility,30000,,,,,,No Issue,Compliant
20325,1513800010,2019,Campus,UNIVERSITY PREPARATORY ACADEMY - CAMPUS,4,NORTHEAST,1989,8000 25TH AVE NE,SEATTLE,WA,98115,47.687,-122.30013,K-12 School,,K-12 School,179,47,,63.8,64.6,6209715,6130604,123.8,124.7,,8.3,,3006851,30069,3123753,915520,0,,21500,21500,0,,3,K-12 School,96154,,,,,,No Issue,Compliant
20330,1522500000,2019,Multifamily MR (5-9),CHARBONNEAU CONDOMINIUM,3,EAST,1989,1201 BOYLSTON AVE,SEATTLE,WA,98101,47.61255,-122.3239,Multifamily Housing,,Multifamily MR (5-9),16.4,93,,27.5,27.5,2658689,2652698,76.9,77.1,,0.2,,0,0,2652698,777461,0,,140778,96578,44200,,5,Multifamily Housing,96578,Parking,44200,,,,No Issue,Compliant
20340,1525049011,2019,Multifamily LR (1-4),LAURELHURST APTS,4,NORTHEAST,1961,3913 NE 45TH ST,SEATTLE,WA,98105,47.66085,-122.28577,Multifamily Housing,,Multifamily LR (1-4),4,97,,22.4,22.5,649870,645630,62.6,63,,0.1,,0,0,645630,189223,0,,30834,30834,0,,4,Multifamily Housing,28876,,,,,,No Issue,Compliant
20343,1532000000,2019,Multifamily MR (5-9),CHATILLON,7,MAGNOLIA / QUEEN ANNE,2002,505 W MERCER PL,SEATTLE,WA,98119,47.62479,-122.36444,Multifamily Housing,,Multifamily MR (5-9),22.3,,,36.7,36.4,718772,724158,69.1,68.8,,1,,379690,3797,344467,100958,0,,21536,21536,0,,5,Multifamily Housing,19738,Parking,6000,,,,No Issue,Compliant
20350,1562400000,2019,Multifamily LR (1-4),Arabelle Apartments,5,NORTHWEST,1988,10321 MERIDIAN AVE N,SEATTLE,WA,98133,47.70395,-122.33471,Multifamily Housing,,Multifamily LR (1-4),6.3,,,21.2,21.1,1008261,1016035,59.4,59,,0.2,,0,0,1016035,297783,0,,47873,34572,13301,,4,Multifamily Housing,47873,,,,,,No Issue,Compliant
20360,1592100000,2019,Multifamily LR (1-4),CINNAMON RIDGE CONDOMINIUM,1,SOUTHWEST,1985,6910 CALIFORNIA AVE SW,SEATTLE,WA,98136,47.54192,-122.38682,Multifamily Housing,,Multifamily LR (1-4),5,93,,20.7,20.7,817434,818700,57.9,57.8,,0.1,,0,0,818701,239947,0,,39581,39581,0,,4,Multifamily Housing,39581,,,,,,No Issue,Compliant
20361,1594000000,2019,Multifamily LR (1-4),CITADEL THE CONDOMINIUM,7,MAGNOLIA / QUEEN ANNE,1989,2040 13TH AVE W,SEATTLE,WA,98119,47.63785,-122.37352,Multifamily Housing,,Multifamily LR (1-4),2.9,,,23.1,23.2,479724,478152,64.6,64.8,,0.1,,0,0,478152,140138,0,,23177,23177,0,,4,Multifamily Housing,20720,,,,,,No Issue,Compliant
20362,1594300000,2019,Multifamily MR (5-9),CITISCAPE CONDOMINIUM,7,MAGNOLIA / QUEEN ANNE,1991,1504 AURORA AVE N,SEATTLE,WA,98109,47.63282,-122.34305,Multifamily Housing,,Multifamily MR (5-9),9,89,,32.2,32.1,1455467,1459249,90.2,89.9,,0.2,,0,0,1459249,427681,0,,54360,54360,0,,5,Multifamily Housing,45319,,,,,,No Issue,Compliant
20367,1595200000,2019,Multifamily LR (1-4),CITY LIGHTS ON HARBOR CONDOMINIUM,1,SOUTHWEST,1990,2349 HARBOR AVE SW,SEATTLE,WA,98126,47.58143,-122.3751,Multifamily Housing,,Multifamily LR (1-4),188.3,16,,58.1,58.8,4192624,4138962,77.5,78.3,,2.7,,3466614,34666,672349,197054,0,,70207,70207,0,,3,Multifamily Housing,71273,,,,,,No Issue,Compliant
20369,4088801740,2019,NonResidential,EMERALD LANDING I,4,LAKE UNION,2012,2157 N NORTHLAKE WAY,SEATTLE,WA,98103,47.64834,-122.33188,Office,,Office,31.5,21,,82.1,82.2,4733918,4732962,228.5,228.5,,0.5,,49104,491,4683857,1372760,0,,84116,57619,26497,,2,Office,57619,Parking,26497,,,,No Issue,Compliant
20372,1604500000,2019,NonResidential,HOTEL ANDRA,7,DOWNTOWN,1925,2000 4TH AVE,SEATTLE,WA,98121,47.61337,-122.33995,Hotel,,Hotel,212.1,35,,69.2,69.2,7633322,7629094,141.4,140.9,,2,,989980,9900,4116626,1206514,2522488,,104000,104000,0,,9,Hotel,110300,Parking,6300,Other - Restaurant/Bar,3000,,No Issue,Compliant
20818,1959700075,2019,NonResidential,OFFICES & PRINTING,4,LAKE UNION,1961,2633 EASTLAKE AVE E,SEATTLE,WA,98102,47.64428,-122.32627,Office,,Office,12.5,77,,27,26.8,787238,792265,65.8,65.5,,0.5,,161916,1619,630349,184745,0,,29392,25558,3834,,3,Office,29392,Parking,0,,,,No Issue,Compliant
20376,1624049006,2019,SPS-District K-12,KIMBALL ELEMENTARY SCHOOL (SPS-DISTRICT),2,GREATER DUWAMISH,1971,3200 23RD AVE S,SEATTLE,WA,98144,47.57405,-122.30301,K-12 School,,K-12 School,56.8,53,,38.7,39.2,2162876,2134636,78.8,79.8,,1,,930340,9303,1204295,352959,0,,55206,55206,0,,1,K-12 School,55206,,,,,,No Issue,Compliant
20377,1624049040,2019,NonResidential,WASHINGTON CARE CENTER,2,SOUTHEAST,1981,2821 S WALDEN ST,SEATTLE,WA,98144,47.57188,-122.29531,Senior Care Community,,Senior Care Community,20.9,97,,57.8,58.3,3417606,3393445,162,163.1,,0.4,,0,0,3393445,994562,0,,58665,58665,0,,3,Senior Care Community,58665,Parking,0,,,,No Issue,Compliant
20383,1324039102,2019,Multifamily LR (1-4),CITY VIEWS APTS,1,SOUTHWEST,1992,3021 SW BRADFORD ST,SEATTLE,WA,98126,47.56874,-122.37178,Multifamily Housing,,Multifamily LR (1-4),14.8,90,,29.3,29.3,2394906,2397334,82.1,82,,0.2,,0,0,2397334,702618,0,,121037,81732,39305,,4,Multifamily Housing,81732,Parking,39305,,,,No Issue,Compliant
20387,1325039001,2019,NonResidential,MARINE BUSINESS CENTER,6,BALLARD,2007,801 NW 42ND ST,SEATTLE,WA,98107,47.65742,-122.36736,Mixed Use Property,,Mixed Use Property,26.4,,,56.1,56.5,1901078,1888150,140.8,141.6,,0.7,,313500,3135,1574650,461503,0,,38784,38784,0,,2,Non-Refrigerated Warehouse,16826,Office,16826,,,,Default Data,Not Compliant
20389,1327000000,2019,Multifamily LR (1-4),CANAL PLACE CONDOMINIUM,7,MAGNOLIA / QUEEN ANNE,1984,965 W NICKERSON ST,SEATTLE,WA,98119,47.65346,-122.36987,Multifamily Housing,,Multifamily LR (1-4),3.7,99,,22.4,22.6,600167,595173,62.7,63.3,,0.1,,0,0,595173,174435,0,,26568,26568,0,,4,Multifamily Housing,26568,Parking,5000,,,,No Issue,Compliant
20390,1327100000,2019,Multifamily MR (5-9),CANAL STATION CONDOMINIUM,6,BALLARD,2007,5440 LEARY AVE NW,SEATTLE,WA,98107,47.66772,-122.38276,Multifamily Housing,,Multifamily MR (5-9),127.4,97,,28.3,28.5,5123756,5099398,59.5,59.6,,0.7,,2044464,20445,3054934,895350,0,,182494,182494,0,,6,Multifamily Housing,165553,Retail Store,14373,,,,No Issue,Compliant
20391,1327150000,2019,Multifamily MR (5-9),CANAL STATION NORTH CONDOMINIUM,6,BALLARD,2007,5450 LEARY AVE NW,SEATTLE,WA,98107,47.6679,-122.38309,Multifamily Housing,,Multifamily MR (5-9),68.8,95,,27.9,28,3176203,3163318,61.9,62,,0.6,,1050717,10507,2112602,619168,0,,113462,113462,0,,6,Multifamily Housing,113462,,,,,,No Issue,Compliant
20393,1327300004,2019,NonResidential,D W CLOSE CO,2,GREATER DUWAMISH,1969,3317 3RD AVE S,SEATTLE,WA,98134,47.57383,-122.33046,Social/Meeting Hall,,Social/Meeting Hall,44.9,,,53.1,52.6,2198237,2220589,121,119.9,,1.1,,664430,6644,1556159,456084,0,,41790,41790,0,,2,Social/Meeting Hall,21790,Office,20000,,,,No Issue,Compliant
20394,1327300005,2019,NonResidential,PORT OF SEATTLE -MARINE MAINTENANCE SHOP,2,GREATER DUWAMISH,1959,25 S HORTON ST,SEATTLE,WA,98134,47.57411,-122.33715,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,"Repair Services (Vehicle, Shoe, Locksmith, etc)",163.5,,,85.2,86.5,4467715,4400965,140.2,141.5,,5.1,,2904690,29047,1496275,438533,0,,32192,32192,0,,1,"Repair Services (Vehicle, Shoe, Locksmith, etc)",51442,Self-Storage Facility,168,Other,35,,No Issue,Compliant
20395,939000515,2019,NonResidential,HOLYOKE BUILDING,7,DOWNTOWN,1900,1018 1ST AVE,SEATTLE,WA,98104,47.60542,-122.3364,Office,,Office,42.7,76,,45,45.3,1810349,1796494,96.4,96.7,,1.1,,674006,6740,1122488,328982,0,,39960,39960,0,,5,Office,37120,Other,2840,,,,No Issue,Compliant
20396,939000530,2019,NonResidential,MEAVES BUILDING,7,DOWNTOWN,1900,1012 1ST AVE,SEATTLE,WA,98104,47.60528,-122.33627,Office,,Office,12.6,,,,,,,,,,0.4,,236763,2368,0,0,0,,33300,33300,0,,5,Office,31470,,,,,,Missing 2019 EUI or Electricity Data,Not Compliant
20397,942000120,2019,NonResidential,HOTEL SEATTLE,7,DOWNTOWN,1926,315 SENECA ST,SEATTLE,WA,98101,47.60721,-122.33451,Hotel,,Hotel,107.6,96,,66.3,67.6,2450964,2404034,96.3,97.9,,3,,583446,5834,430120,126061,1390467,,36240,36240,0,,11,Hotel,36240,,,,,,No Issue,Compliant
20398,942000255,2019,NonResidential,WOMENS UNIVERSITY CLUB,7,DOWNTOWN,1922,1105 6TH AVE,SEATTLE,WA,98101,47.60781,-122.33186,Social/Meeting Hall,,Social/Meeting Hall,120.6,,,78.6,79.6,3128609,3089299,128.9,130.1,,3.7,,843075,8431,927324,271783,1318900,,39320,32360,6960,,3,Social/Meeting Hall,39320,,,,,,No Issue,Compliant
20401,942000460,2019,Multifamily MR (5-9),DOVER APTS,7,DOWNTOWN,1907,901 6TH AVE,SEATTLE,WA,98104,47.60639,-122.3303,Multifamily Housing,,Multifamily MR (5-9),77.6,97,,45.3,45.7,1893728,1879000,67.6,67.9,,1.9,,1405852,14059,473148,138672,0,,41452,41452,0,,5,Multifamily Housing,41452,,,,,,No Issue,Compliant
20402,942000530,2019,NonResidential,FIRST UNITED METHODIST CHURCH,7,DOWNTOWN,1908,811 5TH AVE,SEATTLE,WA,98104,47.60547,-122.33118,Performing Arts,,Performing Arts,182.8,,,714,714,29656202,29656202,1999.2,1999.2,,4.4,,0,0,29656200,8691735,0,,41536,41536,0,,5,Performing Arts,41536,,,,,,Account Requires Verification,Not Compliant
20403,942000555,2019,Multifamily LR (1-4),PACIFIC HOTEL/APTS,7,DOWNTOWN,1916,317 MARION ST,SEATTLE,WA,98104,47.60511,-122.33241,Multifamily Housing,,Multifamily LR (1-4),117.8,,,73.8,75,3397070,3345286,126.7,127.9,,2.6,,2070870,20709,1274415,373510,0,,45320,45320,0,,3,Multifamily Housing,45320,,,,,,No Issue,Compliant
20406,942001120,2019,NonResidential,REYNOLDS WORK RELEASE FACILITY,7,DOWNTOWN,1909,410 4TH AVE,SEATTLE,WA,98104,47.60223,-122.32889,Hotel,,Hotel,133.7,98,,91.5,93.2,3338224,3277444,138.1,139.7,,3.7,,2417164,24172,860281,252134,0,,35820,35820,0,,6,Hotel,35820,,,,,,No Issue,Compliant
20407,945000680,2019,Multifamily LR (1-4),CATE APTS (LOW INCOME),6,NORTHWEST,2003,312 NW 85TH ST,SEATTLE,WA,98117,47.69073,-122.36125,Multifamily Housing,,Multifamily LR (1-4),11.9,,,35.3,35.6,1175765,1166937,93.5,94.2,,0.3,,101239,1012,1065698,312338,0,,42984,35584,7400,,4,Multifamily Housing,32063,Parking,7400,Office,1005,,No Issue,Compliant
20415,952002500,2019,NonResidential,HOLY ROSARY SCHOOL,1,SOUTHWEST,1922,4152 42ND AVE SW,SEATTLE,WA,98116,47.56542,-122.38502,K-12 School,,K-12 School,168.9,65,,63.3,64.8,3749586,3666292,83.1,84.7,,5,,3117226,31172,549066,160922,0,,33462,33462,0,,2,K-12 School,57896,,,,,,No Issue,Compliant
20419,952002655,2019,NonResidential,SEATTLE LUTHERAN HIGH SCHOOL,1,SOUTHWEST,1965,4100 SW GENESEE ST,SEATTLE,WA,98116,47.56504,-122.38455,K-12 School,,K-12 School,115.9,65,,57.2,58.4,2903060,2846678,86.5,87.7,,2.3,,2095806,20958,750872,220068,0,,49744,49744,0,,3,K-12 School,49744,,,,,,No Issue,Compliant
20425,952005960,2019,NonResidential,HOPE LUTHERAN CHURCH,1,SOUTHWEST,1923,4456 42ND AVE SW,SEATTLE,WA,98116,47.56342,-122.38509,Worship Facility,,Worship Facility,46.1,41,,37.4,38.2,1454133,1424990,68.2,69.2,,1.2,,793873,7939,631117,184970,0,,37816,37816,0,,2,Worship Facility,19407,K-12 School,18701,,,,No Issue,Compliant
20427,952006290,2019,NonResidential,LYON'S ANTIQUE MALL-WINDEREMERE-GARLIC JIMS,1,SOUTHWEST,1926,4520 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.5622,-122.38648,Mixed Use Property,,Mixed Use Property,32.6,,,68.1,68.5,1140430,1134429,133.5,133.5,,1.4,,544487,5445,589942,172902,0,,23315,23315,0,,2,Office,7758,Retail Store,6919,Restaurant,1976,,No Issue,Compliant
20428,952006350,2019,NonResidential,MATADOR/JAK'S GRILL/8 LIMBS YOGA/FITNESS TOGETHER,1,SOUTHWEST,1930,4546 CALIFORNIA AVE SW,SEATTLE,WA,98116,47.56147,-122.38638,Mixed Use Property,,Mixed Use Property,247.7,,,260.5,261.2,5407473,5391770,343.2,343.5,,12,,4567609,45676,824161,241548,0,,20700,20700,0,,2,Non-Refrigerated Warehouse,6900,Restaurant,6900,Other - Recreation,4323,,No Issue,Compliant
20430,952006465,2019,Multifamily MR (5-9),ALASKA HOUSE,1,SOUTHWEST,1979,4545 42ND AVE SW,SEATTLE,WA,98116,47.56128,-122.38575,Multifamily Housing,,Multifamily MR (5-9),65.8,66,,53.5,53.8,3477396,3454287,124,124.8,,1,,948741,9487,2505546,734334,0,,82876,64602,18274,,9,Multifamily Housing,64602,Parking,18274,,,,No Issue,Compliant
20432,1333100000,2019,Multifamily MR (5-9),CAPCO PLAZA (Altamira Apartments Portion),1,SOUTHWEST,2008,4550 42ND AVE SW,SEATTLE,WA,98116,47.56137,-122.38524,Multifamily Housing,,Multifamily MR (5-9),164.3,66,,68,68.1,12080468,12064125,171.5,171.6,,1.2,,1915802,19158,10148322,2974303,0,,142099,142099,0,,7,Multifamily Housing,116160,Supermarket/Grocery Store,35318,Retail Store,19249,,No Issue,Compliant
20433,952007220,2019,NonResidential,West Seattle Bowl / Highstrike Grill,1,SOUTHWEST,1948,4505 39TH AVE SW,SEATTLE,WA,98116,47.56263,-122.38196,Other - Recreation,,Other - Recreation,100.3,,,113.8,114,3285845,3277771,214.8,214.5,,3.5,,1707094,17071,1570677,460339,0,,41521,28397,13124,,1,Other - Recreation,26241,Parking,13124,Restaurant,2574,,No Issue,Compliant
