,Unnamed: 0,OSEBuildingID,TaxParcelIdentificationNumber,DataYear,BuildingType,BuildingName,NaturalGas(kBtu),Electricity(kBtu),SteamUse(kBtu),PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,OSE Building Type,LargestPropertyUseType OSE,SecondLargestPropertyUseType OSE,ThirdLargestPropertyUseType OSE,LargestPropertyUseType OSE GFA for Policy,SecondLargestPropertyUseType OSE GFA for Policy,ThirdLargestPropertyUseType OSE GFA for Policy,Total GFA for Policy,LargestPropertyUseType Percent GFA,SecondLargestPropertyUseType Percent GFA,ThirdLargestPropertyUseType Percent GFA,sq_ft_classification
754,761,19845,925049406,2019,NonResidential,OFFICE DEPOT,388000,522725,0,25735,25735,0,Retail Store,25691.0,,,,,NonResidential,Retail Store,,,25691.0,0.0,0.0,25691.0,1.0,0.0,0.0,E
755,762,19846,925049417,2019,Multifamily LR (1-4),BLAKELEY MANOR,0,1678297,0,57856,57856,0,Multifamily Housing,59742.0,,,,,Multifamily,Multifamily Housing,,,59742.0,0.0,0.0,59742.0,1.0,0.0,0.0,C
756,763,19847,925049426,2019,NonResidential,UNIVERSITY VILLAGE EAST BLDG N,3971989,2013394,0,25862,25862,0,Retail Store,25562.0,Other,300.0,,,NonResidential,Retail Store,Other,,25562.0,300.0,0.0,25862.0,0.9883999690665842,0.0116000309334158,0.0,E
757,764,19848,925049426,2019,NonResidential,UNIVERSITY VILLAGE EAST BLDG S,102352,3318971,0,49965,49965,0,Retail Store,47465.0,Other,2500.0,,,NonResidential,Retail Store,Other,,47465.0,2500.0,0.0,49965.0,0.949964975482838,0.050035024517162,0.0,D
758,765,19849,938000000,2019,Multifamily LR (1-4),BOREALIS THE CONDOMINIUM,0,1108617,0,53698,53698,0,Multifamily Housing,53698.0,Parking,2700.0,,,Multifamily,Multifamily Housing,,,53698.0,2700.0,0.0,56398.0,0.952125961913543,0.0478740380864569,0.0,C
759,766,19851,939000085,2019,Multifamily MR (5-9),ST CHARLES HOTEL APTS,1552451,743895,0,23338,23338,0,Multifamily Housing,29100.0,Food Service,2536.0,,,Multifamily,Multifamily Housing,Restaurant,,29100.0,2536.0,0.0,31636.0,0.9198381590592996,0.0801618409407004,0.0,D
760,767,19852,939000100,2019,Multifamily MR (5-9),CORONA LOFTS,262301,587799,0,39594,39594,0,Multifamily Housing,34137.0,Retail Store,5457.0,,,Multifamily,Multifamily Housing,Retail Store,,34137.0,5457.0,0.0,39594.0,0.8621760872859524,0.1378239127140476,0.0,D
761,768,19853,939000115,2019,NonResidential,HARTFORD BUILDING,0,360970,255259,20028,20028,0,Office,20028.0,,,,,NonResidential,Office,,,20028.0,0.0,0.0,20028.0,1.0,0.0,0.0,E
762,769,19854,939000120,2019,Multifamily HR (10+),LOWMAN BUILDING,0,1872830,1155553,65535,65535,0,Multifamily Housing,65535.0,,,,,Multifamily,Multifamily Housing,,,65535.0,0.0,0.0,65535.0,1.0,0.0,0.0,C
763,770,19856,939000140,2019,NonResidential,HOWARD BUILDING,0,792284,0,23563,23563,0,Office,20183.0,Restaurant,3380.0,,,NonResidential,Office,Restaurant,,20183.0,3380.0,0.0,23563.0,0.8565547680685821,0.1434452319314179,0.0,E
764,771,19857,939000235,2019,NonResidential,110 CHERRY BUILDING,344206,1038506,0,28600,28600,0,Office,12000.0,Retail Store,11000.0,Restaurant,3000.0,NonResidential,Office,Retail Store,Restaurant,12000.0,11000.0,3000.0,26000.0,0.4615384615384615,0.4230769230769231,0.1153846153846153,E
765,772,19858,939000300,2019,NonResidential,MARION 823,0,2044013,0,38539,26160,12379,Retail Store,15549.0,Parking,12379.0,Office,10611.0,NonResidential,Retail Store,,Office,15549.0,12379.0,10611.0,38539.0,0.4034614286826332,0.3212070889229093,0.2753314823944575,D
766,773,19860,939000300,2019,NonResidential,MARION 814 BUILDING,0,1764334,0,26840,26840,0,Office,29040.0,,,,,NonResidential,Office,,,29040.0,0.0,0.0,29040.0,1.0,0.0,0.0,E
767,774,19861,939000300,2019,NonResidential,MARION BUILDING 804,0,489933,0,46800,46800,0,Retail Store,36019.0,Office,10781.0,,,NonResidential,Retail Store,Office,,36019.0,10781.0,0.0,46800.0,0.7696367521367521,0.2303632478632478,0.0,D
768,775,19862,939000310,2019,NonResidential,SEATTLE METROPOLITAN CREDIT UNION,824,1237686,0,63990,37350,26640,Office,39000.0,Parking,26640.0,,,NonResidential,Office,,,39000.0,26640.0,0.0,65640.0,0.5941499085923218,0.4058500914076782,0.0,C
769,776,19864,654000330,2019,NonResidential,COMPTON BUILDING,651677,930166,0,28800,28800,0,Office,21600.0,Manufacturing/Industrial Plant,6200.0,Non-Refrigerated Warehouse,6200.0,NonResidential,Office,Other,Non-Refrigerated Warehouse,21600.0,6200.0,6200.0,34000.0,0.6352941176470588,0.1823529411764705,0.1823529411764705,D
770,777,19865,655000005,2019,Multifamily LR (1-4),ENDLESS KNOT/DOROTHY DAY HOUSE APTS,0,907035,0,23015,23015,0,Multifamily Housing,19132.0,Retail Store,3883.0,,,Multifamily,Multifamily Housing,Retail Store,,19132.0,3883.0,0.0,23015.0,0.8312839452530958,0.1687160547469041,0.0,E
771,778,19870,655000075,2019,Multifamily MR (5-9),BAKHITA GARDENS,862573,1323210,0,36676,36676,0,Multifamily Housing,26925.0,Office,9751.0,,,Multifamily,Multifamily Housing,Office,,26925.0,9751.0,0.0,36676.0,0.7341313120296652,0.2658686879703348,0.0,D
772,779,19871,656000045,2019,NonResidential,GRANGE OFFICE PLAZA,730167,401210,0,33552,28584,4968,Office,26556.0,Parking,4968.0,,,NonResidential,Office,,,26556.0,4968.0,0.0,31524.0,0.8424057860677578,0.1575942139322421,0.0,D
773,780,19873,656000130,2019,NonResidential,RITE AID STORE #5218_2603 THIRD AV,485734,1006328,0,26270,26270,0,Retail Store,26270.0,,,,,NonResidential,Retail Store,,,26270.0,0.0,0.0,26270.0,1.0,0.0,0.0,E
774,781,19874,656000160,2019,NonResidential,TRIANON BUILDING,0,2381612,0,57620,49800,7820,Office,49800.0,Parking,7820.0,,,NonResidential,Office,,,49800.0,7820.0,0.0,57620.0,0.8642832349878514,0.1357167650121485,0.0,C
775,782,19875,656000180,2019,Multifamily LR (1-4),LEXINGTON CONCORD APTS,2932520,495582,0,33440,33440,0,Multifamily Housing,33440.0,,,,,Multifamily,Multifamily Housing,,,33440.0,0.0,0.0,33440.0,1.0,0.0,0.0,D
776,783,19876,656000215,2019,NonResidential,U.S. BANK,0,0,0,28696,22616,6080,Other,12960.0,Bank Branch,7760.0,Parking,6080.0,NonResidential,Other,Retail Store,,12960.0,7760.0,6080.0,26800.0,0.4835820895522388,0.2895522388059701,0.226865671641791,E
777,784,19881,656000360,2019,Multifamily MR (5-9),THE VERMONT INN,2158206,1577222,0,69590,54102,15488,Multifamily Housing,69590.0,,,,,Multifamily,Multifamily Housing,,,69590.0,0.0,0.0,69590.0,1.0,0.0,0.0,C
778,785,19884,656000450,2019,Multifamily HR (10+),CENTENNIAL TOWER APTS,6540524,7811934,0,321050,226500,94550,Multifamily Housing,226500.0,Parking,94550.0,Swimming Pool,0.0,Multifamily,Multifamily Housing,,Recreation,226500.0,94550.0,0.0,321050.0,0.7054975860457873,0.2945024139542127,0.0,A
779,786,19885,656000451,2019,Multifamily MR (5-9),COURT AT CENTENNIAL APTS,0,3558992,0,192077,142497,49580,Multifamily Housing,142497.0,Parking,49580.0,,,Multifamily,Multifamily Housing,,,142497.0,49580.0,0.0,192077.0,0.7418743524732269,0.2581256475267731,0.0,B
780,787,19887,656000550,2019,Multifamily MR (5-9),MODA APTS,2664530,3916372,0,203940,143183,60757,Multifamily Housing,143183.0,Parking,60757.0,,,Multifamily,Multifamily Housing,,,143183.0,60757.0,0.0,203940.0,0.7020839462587035,0.2979160537412965,0.0,B
781,788,19889,656000600,2019,Multifamily LR (1-4),FLEMING APTS,511525,379153,0,21284,21284,0,Multifamily Housing,21284.0,,,,,Multifamily,Multifamily Housing,,,21284.0,0.0,0.0,21284.0,1.0,0.0,0.0,E
782,789,19890,657000000,2019,Multifamily MR (5-9),AUSTIN A BELL CONDOMINIUM,182349,973995,0,48786,48786,0,Multifamily Housing,37367.0,Parking,16670.0,,,Multifamily,Multifamily Housing,,,37367.0,16670.0,0.0,54037.0,0.6915076706700964,0.3084923293299035,0.0,C
783,790,19892,659000025,2019,NonResidential,SHERMAN CLAY,1023334,2358946,0,27000,27000,0,Office,16200.0,Other,5400.0,Restaurant,5400.0,NonResidential,Office,Other,Restaurant,16200.0,5400.0,5400.0,27000.0,0.6,0.2,0.2,E
784,791,19893,659000265,2019,Multifamily MR (5-9),STEWART COURT,811205,1194228,0,98222,60476,37746,Multifamily Housing,37924.0,Other,6443.0,,,Multifamily,Multifamily Housing,Other,,37924.0,6443.0,0.0,44367.0,0.8547794531971961,0.1452205468028038,0.0,D
785,792,19894,659000380,2019,NonResidential,BANK OF AMERICA,0,1883567,0,31890,31890,0,Financial Office,31160.0,,,,,NonResidential,Office,,,31160.0,0.0,0.0,31160.0,1.0,0.0,0.0,D
786,793,19895,659000400,2019,NonResidential,CENTENNIAL BUILDING,0,1465807,799003,44098,30438,13660,Retail Store,17478.0,Parking,13660.0,Office,12960.0,NonResidential,Retail Store,,Office,17478.0,13660.0,12960.0,44098.0,0.3963445054197469,0.3097646151752914,0.2938908794049616,D
787,794,19899,659000610,2019,Multifamily HR (10+),METROPOLITAN TOWER,14323531,12011676,0,678165,538339,139826,Multifamily Housing,538339.0,Parking,139826.0,,,Multifamily,Multifamily Housing,,,538339.0,139826.0,0.0,678165.0,0.7938171388968761,0.2061828611031238,0.0,A
788,795,19900,695000090,2019,NonResidential,3000/3018 Western,27122066,9383979,0,49249,49249,0,Laboratory,40584.0,Office,7165.0,,,NonResidential,Laboratory,Office,,40584.0,7165.0,0.0,47749.0,0.8499445014555279,0.1500554985444721,0.0,D
789,796,19902,695000125,2019,NonResidential,SEMKKANN LLC,208928,189451,0,24825,23562,1263,Retail Store,13940.0,Non-Refrigerated Warehouse,10439.0,,,NonResidential,Retail Store,Non-Refrigerated Warehouse,,13940.0,10439.0,0.0,24379.0,0.5718036014602732,0.4281963985397268,0.0,E
790,797,19903,695000130,2019,Multifamily MR (5-9),VERSAILLES APARTMENTS,562661,679118,0,41030,25129,15901,Multifamily Housing,25129.0,Parking,15901.0,,,Multifamily,Multifamily Housing,,,25129.0,15901.0,0.0,41030.0,0.6124543017304411,0.3875456982695588,0.0,D
791,798,19904,695000180,2019,Multifamily MR (5-9),PLYMOUTH PLACE,1945560,1135947,0,41359,41359,0,Multifamily Housing,37224.0,Retail Store,1600.0,Fast Food Restaurant,1478.0,Multifamily,Multifamily Housing,Retail Store,Restaurant,37224.0,1600.0,1478.0,40302.0,0.923626619026351,0.0397002630142424,0.0366731179594064,D
792,799,19905,695000215,2019,Multifamily LR (1-4),CENTERVIEW APTS,369144,399141,0,21095,21095,0,Multifamily Housing,21095.0,,,,,Multifamily,Multifamily Housing,,,21095.0,0.0,0.0,21095.0,1.0,0.0,0.0,E
793,800,19906,695000245,2019,Multifamily MR (5-9),TWENTY NINE HUNDRED ON FIRST,14941,3855335,0,188715,129092,59623,Multifamily Housing,111118.0,Parking,59623.0,Restaurant,17974.0,Multifamily,Multifamily Housing,,Restaurant,111118.0,59623.0,17974.0,188715.0,0.5888138197811514,0.3159420289855073,0.0952441512333412,B
794,801,20984,1722800585,2019,NonResidential,BUILDING R,0,1174640,0,28304,28304,0,Office,27187.0,,,,,NonResidential,Office,,,27187.0,0.0,0.0,27187.0,1.0,0.0,0.0,E
795,802,19909,696000015,2019,Multifamily HR (10+),Arriv<e9> | Sound Hotel,6090643,9146303,0,523378,442704,80674,Multifamily Housing,334493.0,Hotel,108210.0,Parking,80674.0,Multifamily,Multifamily Housing,Hotel,,334493.0,108210.0,80674.0,523377.0,0.6391052721078687,0.2067534492344906,0.1541412786576406,A
796,804,19911,696000035,2019,Multifamily MR (5-9),LEE COURT,0,975076,0,41834,31054,10780,Multifamily Housing,29948.0,Parking,10780.0,Office,1106.0,Multifamily,Multifamily Housing,,Office,29948.0,10780.0,1106.0,41834.0,0.7158770378161304,0.2576851364918487,0.0264378256920208,D
797,805,19913,696000095,2019,Multifamily LR (1-4),CHARLESGATE APTS,1583458,337761,0,34060,34060,0,Multifamily Housing,34060.0,,,,,Multifamily,Multifamily Housing,,,34060.0,0.0,0.0,34060.0,1.0,0.0,0.0,D
798,806,19915,696000135,2019,Multifamily MR (5-9),WINDHAM APTS,562000,1340578,0,37300,37300,0,Multifamily Housing,29700.0,,,,,Multifamily,Multifamily Housing,,,29700.0,0.0,0.0,29700.0,1.0,0.0,0.0,E
799,807,19917,696000160,2019,Nonresidential COS,FIRE STATION 02,1776024,1538928,0,37740,37740,0,Fire Station,38939.0,,,,,NonResidential,Fire/Police Station,,,38939.0,0.0,0.0,38939.0,1.0,0.0,0.0,D
800,808,19918,696000250,2019,Multifamily MR (5-9),FOUNTAIN COURT,290217,7493086,0,328947,254309,74638,Multifamily Housing,277950.0,,,,,Multifamily,Multifamily Housing,,,277950.0,0.0,0.0,277950.0,1.0,0.0,0.0,A
801,809,19919,696000260,2019,Multifamily MR (5-9),SIDNEY APARTMENTS,0,2994522,0,160141,119764,40377,Multifamily Housing,113000.0,Parking,40377.0,Retail Store,6764.0,Multifamily,Multifamily Housing,,Retail Store,113000.0,40377.0,6764.0,160141.0,0.7056281651794356,0.25213405686239,0.0422377779581743,B
802,810,19920,696000290,2019,Multifamily LR (1-4),DEVONSHIRE APTS,1973599,589059,0,44736,40636,4100,Multifamily Housing,40636.0,Parking,4504.0,,,Multifamily,Multifamily Housing,,,40636.0,4504.0,0.0,45140.0,0.9002215330084182,0.0997784669915817,0.0,D
803,811,19921,696000300,2019,Multifamily LR (1-4),STONECLIFF APTS,0,785578,0,22400,22400,0,Multifamily Housing,22400.0,,,,,Multifamily,Multifamily Housing,,,22400.0,0.0,0.0,22400.0,1.0,0.0,0.0,E
804,812,19922,696000305,2019,Multifamily HR (10+),BAYVIEW TOWER,0,3472164,0,70200,70200,0,Multifamily Housing,70200.0,,,,,Multifamily,Multifamily Housing,,,70200.0,0.0,0.0,70200.0,1.0,0.0,0.0,C
805,813,19923,696000325,2019,Multifamily MR (5-9),EDWARDS ON FIFTH,376735,655309,0,21840,21840,0,Multifamily Housing,21840.0,Parking,1280.0,,,Multifamily,Multifamily Housing,,,21840.0,1280.0,0.0,23120.0,0.944636678200692,0.0553633217993079,0.0,E
806,814,19924,696000335,2019,Multifamily LR (1-4),THE DAVENPORT,1755808,308176,0,33880,27993,5887,Multifamily Housing,25734.0,Parking,5887.0,,,Multifamily,Multifamily Housing,,,25734.0,5887.0,0.0,31621.0,0.8138262547041523,0.1861737452958477,0.0,D
807,815,19925,697000025,2019,Multifamily HR (10+),SKYE AT BELLTOWN,8514017,5652251,0,393841,326619,67222,Multifamily Housing,302922.0,Retail Store,23697.0,Parking,0.0,Multifamily,Multifamily Housing,Retail Store,,302922.0,23697.0,0.0,326619.0,0.9274475765341268,0.072552423465873,0.0,A
808,816,19926,697000400,2019,NonResidential,7TH & BELL,727865,745734,0,23752,23752,0,Office,14317.0,Retail Store,9435.0,Parking,0.0,NonResidential,Office,Retail Store,,14317.0,9435.0,0.0,23752.0,0.6027702930279556,0.3972297069720444,0.0,E
809,817,19927,697000435,2019,NonResidential,BEST WESTERN LOYAL INN,1163975,1502053,0,44416,44416,0,Hotel,52668.0,,,,,NonResidential,Hotel,,,52668.0,0.0,0.0,52668.0,1.0,0.0,0.0,C
810,818,19930,698800000,2019,Multifamily MR (5-9),SENIOR SERVICES,347921,1084581,0,34080,34080,0,Multifamily Housing,23580.0,Other,18000.0,,,Multifamily,Multifamily Housing,Other,,23580.0,18000.0,0.0,41580.0,0.5670995670995671,0.4329004329004329,0.0,D
811,819,19931,699000000,2019,Multifamily MR (5-9),BELLTOWN COURT CONDOMINIUM,3934808,5453195,0,224732,224732,0,Multifamily Housing,510000.0,Restaurant,11222.0,Parking,10000.0,Multifamily,Multifamily Housing,Restaurant,,510000.0,11222.0,10000.0,531222.0,0.960050600313993,0.0211248781112228,0.0188245215747841,A
812,820,19932,699800000,2019,Multifamily MR (5-9),BELLTOWN LOFTS CONDOMINIUM,0,1668600,0,62607,62607,0,Multifamily Housing,53799.0,Office,9750.0,,,Multifamily,Multifamily Housing,Office,,53799.0,9750.0,0.0,63549.0,0.8465750837936081,0.1534249162063919,0.0,C
813,821,19934,704600000,2019,Multifamily LR (1-4),BELMONT LOFTS CONDOMINIUM,0,908087,0,31702,31702,0,Multifamily Housing,26418.0,Parking,14280.0,,,Multifamily,Multifamily Housing,,,26418.0,14280.0,0.0,40698.0,0.6491228070175439,0.3508771929824561,0.0,D
814,822,19936,705500000,2019,Multifamily LR (1-4),BELMONT PLACE CONDOMINIUM,1368494,287560,0,29765,29765,0,Multifamily Housing,29765.0,,,,,Multifamily,Multifamily Housing,,,29765.0,0.0,0.0,29765.0,1.0,0.0,0.0,E
815,823,19946,766850000,2019,Multifamily LR (1-4),"BERING, THE CONDOMINIUM",1801676,257034,0,27182,27182,0,Multifamily Housing,27182.0,Parking,3200.0,,,Multifamily,Multifamily Housing,,,27182.0,3200.0,0.0,30382.0,0.8946744783095254,0.1053255216904746,0.0,D
816,824,19947,767000110,2019,Multifamily LR (1-4),CARKEEK PARK PLACE APARTMENTS,772130,2519718,0,126436,91435,35001,Multifamily Housing,71360.0,Parking,35001.0,Retail Store,20075.0,Multifamily,Multifamily Housing,,Retail Store,71360.0,35001.0,20075.0,126436.0,0.5643962162675188,0.2768278022082318,0.1587759815242494,B
817,825,19949,777900000,2019,Multifamily LR (1-4),BERTONA HOUSE CONDOMINIUM,0,487289,0,22374,22374,0,Multifamily Housing,22374.0,,,,,Multifamily,Multifamily Housing,,,22374.0,0.0,0.0,22374.0,1.0,0.0,0.0,E
818,826,19956,809002696,2019,Multifamily LR (1-4),QUEEN ANNE MANOR,1282234,2832280,0,61802,61802,0,Multifamily Housing,61802.0,,,,,Multifamily,Multifamily Housing,,,61802.0,0.0,0.0,61802.0,1.0,0.0,0.0,C
819,827,19967,811000005,2019,SPS-District K-12,QUEEN ANNE GYM (SPS-DISTRICT),489718,226317,0,35805,35805,0,K-12 School,35805.0,,,,,Campus,K-12 School,,,35805.0,0.0,0.0,35805.0,1.0,0.0,0.0,D
820,828,19969,820000038,2019,Multifamily LR (1-4),VILLA FLORA,0,1293503,0,56473,42561,13912,Multifamily Housing,26407.0,Retail Store,8802.0,,,Multifamily,Multifamily Housing,Retail Store,,26407.0,8802.0,0.0,35209.0,0.7500071004572695,0.2499928995427305,0.0,D
821,829,19976,826000040,2019,Multifamily MR (5-9),CAL-MORE CIRCLE APTS,581550,1038902,0,51490,51490,0,Multifamily Housing,51490.0,,,,,Multifamily,Multifamily Housing,,,51490.0,0.0,0.0,51490.0,1.0,0.0,0.0,C
822,830,19986,829500000,2019,Multifamily LR (1-4),BISCAYNE CONDOMINIUM,0,1330387,0,45348,45348,0,Multifamily Housing,45348.0,Parking,4717.0,,,Multifamily,Multifamily Housing,,,45348.0,4717.0,0.0,50065.0,0.905782482772396,0.0942175172276041,0.0,C
823,831,19988,832000005,2019,Multifamily LR (1-4),GREENWOOD NORTH APTS,0,922966,0,31317,31317,0,Multifamily Housing,25788.0,,,,,Multifamily,Multifamily Housing,,,25788.0,0.0,0.0,25788.0,1.0,0.0,0.0,E
824,832,19990,832200000,2019,Multifamily MR (5-9),BITTER LAKE VILLAGE CONDOMINIUM,0,4080418,0,99372,99372,0,Multifamily Housing,99000.0,Parking,25000.0,Swimming Pool,0.0,Multifamily,Multifamily Housing,,Recreation,99000.0,25000.0,0.0,124000.0,0.7983870967741935,0.2016129032258064,0.0,B
825,833,19991,832500000,2019,Multifamily LR (1-4),BITTER LAKE WEST CONDOMINIUM,0,664368,0,26744,26744,0,Multifamily Housing,26744.0,,,,,Multifamily,Multifamily Housing,,,26744.0,0.0,0.0,26744.0,1.0,0.0,0.0,E
826,834,19992,833000000,2019,Multifamily LR (1-4),BITTERLAKE VISTA CONDOMINIUM,0,763149,0,30060,30060,0,Multifamily Housing,30070.0,Parking,2600.0,,,Multifamily,Multifamily Housing,,,30070.0,2600.0,0.0,32670.0,0.9204162840526476,0.0795837159473523,0.0,D
827,835,20000,850000300,2019,NonResidential,EMMANUEL BIBLE CHURCH,924438,468954,0,45991,45991,0,Worship Facility,45991.0,,,,,NonResidential,Worship Facility,,,45991.0,0.0,0.0,45991.0,1.0,0.0,0.0,D
828,836,20004,853300000,2019,Multifamily MR (5-9),BLAKELEY COMMONS OWNERS ASSOCIATION,1234054,3145945,0,119996,119996,0,Multifamily Housing,96540.0,Retail Store,7187.0,,,Multifamily,Multifamily Housing,Retail Store,,96540.0,7187.0,0.0,103727.0,0.9307123506897916,0.0692876493102085,0.0,B
829,837,20005,854500000,2019,Multifamily LR (1-4),BLAKELEY PLACE CONDOMINIUM,0,571051,0,23794,23794,0,Multifamily Housing,23794.0,,,,,Multifamily,Multifamily Housing,,,23794.0,0.0,0.0,23794.0,1.0,0.0,0.0,E
830,838,20007,859000025,2019,Multifamily LR (1-4),WESTWOOD COURT APTS,0,1601323,0,48996,48996,0,Multifamily Housing,48996.0,,,,,Multifamily,Multifamily Housing,,,48996.0,0.0,0.0,48996.0,1.0,0.0,0.0,D
831,839,20009,866300000,2019,Multifamily LR (1-4),BLUE HERON CONDOMINIUM,63331,984624,0,37090,37090,0,Multifamily Housing,35106.0,,,,,Multifamily,Multifamily Housing,,,35106.0,0.0,0.0,35106.0,1.0,0.0,0.0,D
832,840,20011,880000055,2019,Multifamily LR (1-4),WESTWOOD PARK VILLA BUILDING 2,198372,1029832,0,23533,23533,0,Multifamily Housing,23533.0,,,,,Multifamily,Multifamily Housing,,,23533.0,0.0,0.0,23533.0,1.0,0.0,0.0,E
833,841,20013,905000000,2019,Multifamily MR (5-9),BOLERO CONDOMINIUM,529381,1457275,0,52020,50098,1922,Multifamily Housing,45000.0,,,,,Multifamily,Multifamily Housing,,,45000.0,0.0,0.0,45000.0,1.0,0.0,0.0,D
834,842,20017,914000020,2019,Multifamily LR (1-4),EMERALD SHORES,0,804046,0,32612,32612,0,Multifamily Housing,32612.0,,,,,Multifamily,Multifamily Housing,,,32612.0,0.0,0.0,32612.0,1.0,0.0,0.0,D
835,843,20021,924049006,2019,Multifamily LR (1-4),THE CENTURY HOUSE,0,2533105,0,58485,58485,0,Multifamily Housing,58485.0,,,,,Multifamily,Multifamily Housing,,,58485.0,0.0,0.0,58485.0,1.0,0.0,0.0,C
836,844,20027,925049079,2019,Multifamily LR (1-4),IVY RIDGE,0,2711543,0,147443,91617,55826,Multifamily Housing,91617.0,,,,,Multifamily,Multifamily Housing,,,91617.0,0.0,0.0,91617.0,1.0,0.0,0.0,B
837,845,20028,925049084,2019,Multifamily LR (1-4),PACIFIC SUNRISE,0,1629344,0,65103,52654,12449,Multifamily Housing,52654.0,Parking,12449.0,,,Multifamily,Multifamily Housing,,,52654.0,12449.0,0.0,65103.0,0.8087799333364054,0.1912200666635946,0.0,C
838,846,20029,925049089,2019,NonResidential,PHI DELTA THETA,0,489795,0,21499,21499,0,Residence Hall/Dormitory,21499.0,,,,,NonResidential,Residence Hall/Dormitory,,,21499.0,0.0,0.0,21499.0,1.0,0.0,0.0,E
839,847,20033,925049118,2019,NonResidential,LISA LI BLDG,66640,1582374,0,20384,20384,0,Office,25021.0,,,,,NonResidential,Office,,,25021.0,0.0,0.0,25021.0,1.0,0.0,0.0,E
840,848,20037,925049143,2019,Multifamily LR (1-4),BAYVIEW APTS,0,658278,0,21528,21528,0,Multifamily Housing,21528.0,,,,,Multifamily,Multifamily Housing,,,21528.0,0.0,0.0,21528.0,1.0,0.0,0.0,E
841,849,20045,925049330,2019,NonResidential,2746 NE 45TH ST - QFC,5745214,8878031,0,77424,77424,0,Supermarket/Grocery Store,96218.0,,,,,NonResidential,Supermarket/Grocery Store,,,96218.0,0.0,0.0,96218.0,1.0,0.0,0.0,B
842,850,20047,925049346,2019,NonResidential,UNIVERSITY VILLAGE SHOPPING CENTER BLDG A,4518613,4057045,0,39265,39265,0,Retail Store,18580.0,Restaurant,11777.0,Office,9278.0,NonResidential,Retail Store,Restaurant,Office,18580.0,11777.0,9278.0,39635.0,0.4687775955594802,0.2971363693705058,0.2340860350700138,D
843,851,20048,925049346,2019,NonResidential,UNIVERSITY VILLAGE SHOPPING CENTER NW BLDG,382247,4168799,0,52784,52784,0,Retail Store,52784.0,Other,1900.0,,,NonResidential,Retail Store,Other,,52784.0,1900.0,0.0,54684.0,0.9652549191719698,0.0347450808280301,0.0,C
844,852,20050,925049346,2019,NonResidential,UNIVERSITY VILLAGE SHOPPING CENTER BLDG C,344296,2260592,0,23409,23409,0,Retail Store,21909.0,Other,1500.0,,,NonResidential,Retail Store,Other,,21909.0,1500.0,0.0,23409.0,0.935922081250801,0.064077918749199,0.0,E
845,853,20052,925049346,2019,NonResidential,UNIVERSITY VILLAGE SHOPPING CENTER WEST BLDG,998494,4841474,0,73102,73102,0,Retail Store,55439.0,Non-Refrigerated Warehouse,2703.0,Other,1000.0,NonResidential,Retail Store,Non-Refrigerated Warehouse,Other,55439.0,2703.0,1000.0,59142.0,0.9373879814683304,0.0457035609211727,0.0169084576104967,C
846,854,20056,925049382,2019,Multifamily LR (1-4),NORDHEIM COURT (UW HOUSING),3181504,4323086,0,321333,273154,48179,Multifamily Housing,174577.0,Parking,48179.0,,,Multifamily,Multifamily Housing,,,174577.0,48179.0,0.0,222756.0,0.7837140189265385,0.2162859810734615,0.0,A
847,855,20059,925049395,2019,Multifamily LR (1-4),TRAILSIDE APTS,0,366677,0,26157,26157,0,Multifamily Housing,26157.0,,,,,Multifamily,Multifamily Housing,,,26157.0,0.0,0.0,26157.0,1.0,0.0,0.0,E
848,856,20067,659000710,2019,NonResidential,FARE START,1592906,3036968,0,33600,33600,0,Restaurant,19200.0,Office,14400.0,,,NonResidential,Restaurant,Office,,19200.0,14400.0,0.0,33600.0,0.5714285714285714,0.4285714285714285,0.0,D
849,857,21103,1977201140,2019,NonResidential,THE PALLADIAN HOTEL,415630,2432549,0,61721,61721,0,Hotel,55457.0,,,,,NonResidential,Hotel,,,55457.0,0.0,0.0,55457.0,1.0,0.0,0.0,C
850,858,20068,659000715,2019,Multifamily LR (1-4),ST MARTIN'S ON WEST LAKE HOUSING,472673,1197161,0,39201,39201,0,Multifamily Housing,22050.0,Retail Store,1800.0,,,Multifamily,Multifamily Housing,Retail Store,,22050.0,1800.0,0.0,23850.0,0.9245283018867924,0.0754716981132075,0.0,E
851,859,20069,659000740,2019,Multifamily LR (1-4),LARNED APTS,397510,611285,0,23568,23568,0,Multifamily Housing,18222.0,Retail Store,5346.0,,,Multifamily,Multifamily Housing,Retail Store,,18222.0,5346.0,0.0,23568.0,0.7731670061099797,0.2268329938900203,0.0,E
852,860,20071,659000965,2019,Multifamily LR (1-4),THE VIRGINIAN APTS,1334375,154406,0,21130,21130,0,Multifamily Housing,21130.0,,,,,Multifamily,Multifamily Housing,,,21130.0,0.0,0.0,21130.0,1.0,0.0,0.0,E
853,861,20072,659001015,2019,Multifamily MR (5-9),SHERIDAN APTS,176538,505481,1452447,36880,36880,0,Multifamily Housing,36880.0,,,,,Multifamily,Multifamily Housing,,,36880.0,0.0,0.0,36880.0,1.0,0.0,0.0,D
